Col1,Col2,Col3,Col4
,,Ta-Nehisi Coates,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.40 avg rating — 339,546 ratings",
,,"score: 58, and 1 person voted ?",
78,The Heaven & Earth Grocery ...,The Heaven & Earth Grocery Store,Want to Read
,,by ,Rate this book
,,James McBride (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,,"4.00 avg rating — 209,825 ratings",
,,"score: 57, and 1 person voted ?",
79,On Earth We're Briefly Gorg...,On Earth We're Briefly Gorgeous,Want to Read
,,by ,Rate this book
,,Ocean Vuong,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.04 avg rating — 323,876 ratings",
,,"score: 53, and 1 person voted ?",
80,Caste: The Origins of Our D...,Caste: The Origins of Our Discontents,Want to Read
,,by ,Rate this book
,,Isabel Wilkerson (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.53 avg rating — 144,186 ratings",
,,"score: 50, and 1 person voted ?",
81,Trust,Trust,Want to Read
,,by ,Rate this book
,,Hernan Diaz (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 3.83 avg rating — 120,174 ratings",
,,"score: 49, and 1 person voted ?",
82,11/22/1963,11/22/1963,Want to Read
,,by ,Rate this book
,,Stephen King (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.34 avg rating — 561,761 ratings",
,,"score: 47, and 1 person voted ?",
83,The Dutch House,The Dutch House,Want to Read
,,by ,Rate this book
,,Ann Patchett,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.10 avg rating — 472,748 ratings",
,,"score: 41, and 1 person voted ?",
84,North Woods,North Woods,Want to Read
,,by ,Rate this book
,,Daniel Mason (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.15 avg rating — 51,625 ratings",
,,"score: 40, and 1 person voted ?",
85,The Sympathizer (The Sympat...,"The Sympathizer (The Sympathizer, #1)",Want to Read
,,by ,Rate this book
,,Viet Thanh Nguyen (Goodreads Author),1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
,,,
,," 4.01 avg rating — 121,606 ratings",
,,"score: 39, and 1 person voted ?",
86,2666,2666,Want to Read
