New York Times 100 Best Books of the 20th Century,,,,,,
"As voted on by 503 novelists, nonfiction writers, poets, critics (Critics List) as well as by readers (Readers List)",,,,,,
Title,Author,Rating,Number Ratings,Critics List,Readers List,Read?
The Line of Beauty,Alan Hollinghurst,3.76,"28,628",Yes,,
A Mercy,Toni Morrison,3.75,"29,986",Yes,,
Exit West,Mohsin Hamid,3.75,"142,067",Yes,,
Klara and the Sun,Kazuo Ishiguro,3.75,"361,433",Yes,Yes,
Lincoln in the Bardo,George Saunders,3.75,"159,823",Yes,Yes,
The Sellout,Paul Beatty,3.75,"70,431",Yes,,
H is for Hawk,Helen Macdonald,3.74,"75,634",Yes,,
We the Animals,Justin Torres,3.72,"23,084",Yes,,
A Visit from the Goon Squad,Jennifer Egan,3.70,"233,144",Yes,Yes,
Outline,Rachel Cusk,3.68,"56,819",Yes,,
How to be Both,Ali Smith,3.66,"24,783",Yes,,
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,3.65,"192,771",Yes,,
My Year of Rest and Relaxation,Ottessa Moshfegh,3.63,"439,958",,Yes,
Tree of Smoke,Denis Johnson,3.60,"13,823",Yes,,
The Vegetarian,Han Kang,3.58,"176,399",Yes,,
The Flamethrowers,Rachel Kushner,3.50,"22,113",Yes,,
Veronica,Mary Gaitskill,3.43,"6,532",Yes,,
